Ticker,Category,CompanyName,Exchange
FTD,"Specialty Retail, Other","FTD Companies, Inc.",NMS
FTEK,Pollution & Treatment Controls,"Fuel Tech, Inc.",NMS
FTI,Oil & Gas Equipment & Services,TechnipFMC plc,NYQ
FTK,Oil & Gas Equipment & Services,"Flotek Industries, Inc.",NYQ
FTNT,Application Software,"Fortinet, Inc.",NMS
FTR,Telecom Services - Domestic,Frontier Communications Corporation,NMS
FUEL,Advertising Agencies,Rocket Fuel Inc.,NMS
FUL,Specialty Chemicals,H.B. Fuller Company,NYQ
FULO,Internet Service Providers,"FullNet Communications, Inc.",PNK
FULT,Regional - Northeast Banks,Fulton Financial Corporation,NMS
FUN,General Entertainment,"Cedar Fair, L.P.",NYQ
FUNC,Regional - Mid-Atlantic Banks,First United Corporation,NMS
FUTU,Long-Term Care Facilities,Future Healthcare of America,PNK
FVCB,Regional - Southeast Banks,"FVCBankcorp, Inc.",PNK
FVE,Long-Term Care Facilities,Five Star Senior Living Inc.,NCM
FVRG,Processed & Packaged Goods,ForeverGreen Worldwide Corporation,PNK
FWP,Biotechnology,Forward Pharma A/S,NMS
FWRD,Air Delivery & Freight Services,Forward Air Corporation,NMS
FXNC,Regional - Mid-Atlantic Banks,First National Corporation,PNK
G,Business Services,Genpact Limited,NYQ
GABA,Regional - Mid-Atlantic Banks,Georgia Bancshares Inc.,PNK
GABC,Regional - Midwest Banks,"German American Bancorp, Inc.",NMS
GAHC,Investment Brokerage - National,Global Arena Holding Inc.,PNK
GAIA,Catalog & Mail Order Houses,"Gaia, Inc.",NGM
GALE,Biotechnology,"Galena Biopharma, Inc.",NCM
GALT,Drugs - Generic,"Galectin Therapeutics, Inc.",NCM
GAM,Closed-End Fund - Equity,"General American Investors Company, Inc.",NYQ
GASS,Shipping,StealthGas Inc.,NMS
GAWK,Internet Service Providers,Gawk Incorporated,PNK
GBCI,Regional - Pacific Banks,"Glacier Bancorp, Inc.",NMS
GBCS,Resorts & Casinos,"Global Healthcare REIT, Inc.",PNK
GBGD,Gold,Global Gold Corporation,PNK
GBIM,Biotechnology,"GlobeImmune, Inc.",PNK
GBL,Asset Management,"GAMCO Investors, Inc.",NYQ
GBLI,Property & Casualty Insurance,Global Indemnity Limited,NMS
GBLL,Industrial Electrical Equipment,"Green Ballast, Inc.",PNK
GBNK,Regional - Mid-Atlantic Banks,Guaranty Bancorp,NMS
GBR,Independent Oil & Gas,"New Concept Energy, Inc.",ASE
GBSN,Medical Laboratories & Research,"Great Basin Scientific, Inc.",PNK
GBSX,Application Software,GBS Enterprises Incorporated,PNK
GBT,Biotechnology,Global Blood Therapeutics Inc.,NMS
GBX,Railroads,"The Greenbrier Companies, Inc.",NYQ
GCAP,Investment Brokerage - National,"GAIN Capital Holdings, Inc.",NYQ
GCBC,Savings & Loans,"Greene County Bancorp, Inc.",NCM
GCEH,Farm Products,"Global Clean Energy Holdings, Inc.",PNK
GCEI,Waste Management,"Global Clean Energy, Inc.",PNK
GCFB,Restaurants,Granite City Food & Brewery Ltd.,PNK
GCI,Publishing - Newspapers,"Gannett Co., Inc.",NYQ
GCO,Apparel Stores,Genesco Inc.,NYQ
GD,Aerospace/Defense Products & Services,General Dynamics Corporation,NYQ
GDDY,Internet Software & Services,GoDaddy Inc.,NYQ
GDEN,Resorts & Casinos,"Golden Entertainment, Inc.",NGM
GDFI,Industrial Metals & Minerals,Goldfields International Inc.,PNK
GDOT,Credit Services,Green Dot Corporation,NYQ
GE,Diversified Machinery,General Electric Company,NYQ
GEF,Packaging & Containers,"Greif, Inc.",NYQ
GEIG,Electric Utilities,GEI Global Energy Corp.,PNK
GEL,Oil & Gas Pipelines,"Genesis Energy, L.P.",NYQ
GEN,Long-Term Care Facilities,"Genesis Healthcare, Inc.",NYQ
GENC,Farm & Construction Machinery,"Gencor Industries, Inc.",NGM
GEO,REIT - Healthcare Facilities,"The GEO Group, Inc.",NYQ
GEOR,Major Integrated Oil & Gas,GeoPetro Resources Company,PNK
GEOS,Oil & Gas Equipment & Services,Geospace Technologies Corporation,NMS
GERN,Biotechnology,Geron Corporation,NMS
GES,Apparel Stores,"Guess', Inc.",NYQ
GEVO,Chemicals - Major Diversified,"Gevo, Inc.",NCM
GEZC,Conglomerates,GO EZ Corporation,PNK
GFA,Residential Construction,Gafisa S.A.,NYQ
GFED,Regional - Southwest Banks,"Guaranty Federal Bancshares, Inc.",NGM
GFF,General Building Materials,Griffon Corporation,NYQ
GFI,Gold,Gold Fields Limited,NYQ
GFN,Rental & Leasing Services,General Finance Corporation,NGM
GFOX,Independent Oil & Gas,Grey Fox Holdings Corp.,PNK
GG,Gold,Goldcorp Inc.,NYQ
GGAL,Foreign Regional Banks,Grupo Financiero Galicia S.A.,NCM
GGB,Steel & Iron,Gerdau S.A.,NYQ
GGG,Diversified Machinery,Graco Inc.,NYQ
GGP,REIT - Retail,GGP Inc.,NYQ
GHDX,Medical Laboratories & Research,"Genomic Health, Inc.",NMS
GHL,Investment Brokerage - Regional,"Greenhill & Co., Inc.",NYQ
GHM,Metal Fabrication,Graham Corporation,NYQ
GHST,Management Services,Ghost Technology Inc,PNK
GIB,Internet Software & Services,CGI Group Inc.,NYQ
GIFI,Oil & Gas Equipment & Services,"Gulf Island Fabrication, Inc.",NMS
GIGA,Scientific & Technical Instruments,Giga-tronics Incorporated,NCM
GIGL,Restaurants,"Giggles N' Hugs, Inc.",PNK
